"Edit","Cut","⌘X","In Dialogs and Windows"
"C/C++ Source","Format","⇧⌘F","C/C++ Editor"
"Text Editing","Text Start","⌘↖","Embedded Xtext Editor context"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Run/Debug","Run Java Application","⌥⌘X J","Editing Xtend Source"
"C/C++ Source","Quick Type Hierarchy","⌘T","C/C++ Editor"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Edit","Select Enclosing Element","⇧⌃⇞","Editing Java Source"
"Run/Debug","Go to Program Counter","↖","In Disassembly"
"Navigate","Next Page","⌥F7","In Windows"
"Run/Debug","Go to Address...","⌘G","In Disassembly"
"Window","Show View Menu","⌘F10","In Dialogs and Windows"
"C/C++ Source","References","⇧⌘G","In C/C++ Views"
"Window","Close Dialog","⌘W","In Dialogs"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Run/Debug","Run Eclipse Application","⌥⌘X E","In Windows"
"Run/Debug","Inspect","⇧⌘I","In Dialogs and Windows"
"Window","Toggle Full Screen","⌃⌘F","In Windows"
"Run/Debug","Force Return","⌥⌘F","In Windows"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"C/C++ Source","Organize Includes","⇧⌘O","C/C++ Editor"
"Text Editing","Duplicate Lines","⌥⌘↑","Embedded Xtext Editor context"
"Makefile Source","Comment","⌃/","Makefile Editor"
"C/C++ Source","Toggle Mark Occurrences","⌥⌘O","C/C++ Editor"
"C/C++ Source","Surround With Quick Menu","⌥⌘Z","C/C++ Editor"
"Source","Open Declaration","F3","Editing Ant Buildfiles"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Views","Show View (Declaration)","⌥⌘Q D","In Windows"
"Window","Show Ruler Context Menu","⌘F10","Embedded Xtext Editor context"
"Spy","Plug-in Menu Spy","⇧⌥F2","In Dialogs and Windows"
"Git","Commit...","⌥⌘3","In Windows"
"Source","Quick Assist - Rename in file","⌘2 R","Editing Java Source"
"Navigate","Show In Breadcrumb","⌥⌘B","Editing Java Source"
"Source","Format","⇧⌘F","Editing Java Source"
"Source","Toggle Comment","⌘/","Editing Properties Files"
"Views","Show View (Synchronize)","⌥⌘Q Y","In Windows"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Text Editing","Line End","⌘→","Editing Text"
"Navigate","Go to Matching Bracket","⇧⌘P","Editing Java Source"
"Editing","Go to Matching Bracket","⇧⌘P","Editing Xtext Source"
"Navigate","Collapse All","⇧⌘Numpad_Divide","In Windows"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Refactor - C++","Extract Function - Refactoring ","⌥⌘M","C/C++ Editor"
"C/C++ Source","Toggle Source/Header","⌘Tab","C/C++ Editor"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Edit","Next Sibling","⇧⌃↓","Editing in Structured Text Editors"
"Refactor - Java","Extract Local Variable","⌥⌘L","In Windows"
"Window","Next Editor","⌃Tab","In Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Embedded Xtext Editor context"
"Run/Debug","Step Over","F6","Debugging"
"Text Editing","Select Line End","⇧⌘→","Editing Text"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Text Editing","Line Start","⌘←","Editing Text"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Run/Debug","Debug Android Application","⇧⌥A D","In Windows"
"Window","Quick Switch Editor","⌘E","In Windows"
"Run/Debug","Next Memory Monitor","⌥⌘N","In Memory View"
"Edit","Shift Left","⇧Tab","C/C++ Editor"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Edit","Select Previous Element","⇧⌃↖","Editing Java Source"
"Run/Debug","Run Java Application","⌥⌘X J","In Windows"
"Source","Format","⇧⌘F","Editing Ant Buildfiles"
"Search","Declaration in Workspace","⌘G","In Windows"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text"
"Source","Toggle Comment","⇧⌘C","Editing Properties Files"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Quick JUnit","JUnit Debug","⌃⌘0","Editing Text"
"Navigate","Open Type in Hierarchy","⇧⌘H","C/C++ Editor"
"Navigate","Open Call Hierarchy","⌃⌥H","C/C++ Editor"
"Quick JUnit","Open Testing Pair","⌃9","Editing Text"
"Text Editing","Copy Lines","⌥⌘↓","Editing Text"
"Edit","Find Previous","⇧⌘K","Embedded Xtext Editor context"
"File","Properties","⌥↩","In Windows"
"Run/Debug","Debug Eclipse Application","⌃⌥⌘D E","In Windows"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Text Editing","Line End","⌘→","Embedded Xtext Editor context"
"Navigate","Quick Hierarchy","⌘T","Editing Java Source"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"C/C++ Source","Open Declaration","F3","In Macro Expansion Hover"
"Refactor - Java","Show Refactor Quick Menu","⌥⌘T","In Windows"
"Window","Next Perspective","⌘F8","In Windows"
"Window","Toggle Split Editor (Horizontal)","⇧⌘-","In Windows"
"Run/Debug","Run Java Applet","⌥⌘X A","In Windows"
"Text Editing","Select Text End","⇧↘","Embedded Xtext Editor context"
"Run/Debug","Debug JUnit Test","⌃⌘9","Editing Xtend Source"
"Text Editing","Duplicate Lines","⌥⌘↑","Editing Text"
"Text Editing","Text End","⌘↘","Editing Text"
"C/C++ Source","Explore Macro Expansion","⌘#","C/C++ Editor"
"Edit","Quick Fix","⌘1","In Dialogs and Windows"
"C/C++ Source","Remove Block Comment","⇧⌘\","C/C++ Editor"
"Edit","Redo","⇧⌘Z","In Dialogs and Windows"
